engine,vehicle,year_start,year_end,year_span,era,power_hp,torque_nm,manufacturer,region,displacement,displacement_l,aspiration,confidence,notes,source
4B11T,Mitsubishi Lancer Evolution,1992,2016.0,25.0,90s,,,4B11T,Other,2000.0,2.0,Turbocharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_Lancer_Evolution
6G72,Mitsubishi 3000GT,1991,1999.0,9.0,90s,,,6G72,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mitsubishi_3000GT
LT2,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LS6,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LS6,Other,5665.0,5.7,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT6,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LT6,Other,5499.0,5.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT7,Chevrolet Corvette (C8),2020,,,2020s+,495.0,,LT7,Other,6200.0,6.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C8)
LT1V8,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LT4,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LT5,Chevrolet Corvette (C7),2014,2019.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
LS2,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS3,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS7,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS9,Chevrolet Corvette (C6),2005,2013.0,9.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
LS1V8,Chevrolet Corvette (C5),1997,2004.0,8.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
LS6,Chevrolet Corvette (C5),1997,2004.0,8.0,90s,,,LS6,Other,5665.0,5.7,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
LT4,Cadillac CT5,2020,,,2020s+,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Cadillac_CT5
Hellcat,Dodge Challenger (2008),2008,2023.0,16.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Dodge_Challenger_(2008)
Viper V10,Dodge Viper,1992,2006.0,15.0,90s,400.0,,Viper,Other,8000.0,8.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Dodge_Viper
Hemi,Jeep Grand Cherokee (WK2),2011,2022.0,12.0,2010s,,,Hemi,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Hellcat Hemi,Jeep Grand Cherokee (WK2),2011,2022.0,12.0,2010s,,,Hellcat,Other,6166.0,6.2,Supercharged,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Hemi,Ram 1500 TRX,2021,2024.0,4.0,2020s+,,,Hemi,Other,3000.0,3.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Ram_1500_TRX
N43,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N43,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N45,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N46,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N52,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N52,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N54,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N54,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N55,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,N55,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
M47,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,M47,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N47,BMW 1 Series (E87),2005,2011.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
N46,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
M54,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
N52,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,N52,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
S54,BMW Z4 (E85),2003,2008.0,6.0,2000s,,,S54,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
S63,BMW M8,2019,,,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_M8
M52B28,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M60B30,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M62B35,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M60B40,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M62B44,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,M62B44,Other,4398.0,4.4,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M73B54,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M51,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M57,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,M57,Other,2800.0,2.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M67,BMW 7 Series (E38),1995,2001.0,7.0,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
M52,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M54,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M62,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
S62,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M47,BMW 5 Series (E39),1995,,,90s,,,M47,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M51,BMW 5 Series (E39),1995,,,90s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M57,BMW 5 Series (E39),1995,,,90s,,,M57,Other,2800.0,2.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
M271,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
M274,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,M274,Other,1600.0,1.6,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
M272,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
M276,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
M156,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,M156,Other,6208.0,6.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
OM651,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,OM651,Other,2143.0,2.1,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
OM646,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
OM642,Mercedes-Benz C-Class (W204),2008,2014.0,7.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
M264,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M270,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,M270,Other,1500.0,1.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M274,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,M274,Other,1600.0,1.6,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M276,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M177,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,M177,Other,3982.0,4.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M139,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,M139,Other,1500.0,1.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
OM651,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,OM651,Other,2143.0,2.1,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
OM626,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
OM654,Mercedes-Benz C-Class (W205),2015,2021.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
M271,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M274,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,M274,Other,1600.0,1.6,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M272,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M276,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M278,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,M278,Other,1800.0,1.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M273,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M157,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M156,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,M156,Other,6208.0,6.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
OM651,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,OM651,Other,2143.0,2.1,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
OM642,Mercedes-Benz E-Class (W212),2010,2016.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
M159,Mercedes-Benz SLS AMG,2010,2015.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_SLS_AMG
M157,Mercedes-AMG G 63 6x6,2013,2015.0,3.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-AMG_G_63_6x6
3.0L V6 3.5L V6 2.1L CDI I4 3.0L CDI V6,Mercedes-Benz GLK-Class,2010,2015.0,6.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_GLK-Class
5.2 L odd-firing V10,Lamborghini Huracán,2014,,,2010s,,,5.2,Other,5200.0,5.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Huracán
L539,Lamborghini Aventador,2012,2022.0,11.0,2010s,690.0,,L539,Other,5204.0,5.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Aventador
6.2 L–6.5 L Lamborghini V12,Lamborghini Murciélago,2002,2010.0,9.0,2000s,573.0,,6.2,Other,6200.0,6.2,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Murciélago
Ferrari F136 F,Ferrari 458,2009,2015.0,7.0,2000s,562.0,,Ferrari,European,4500.0,4.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Ferrari_458
F154 CB,Ferrari 488,2015,2020.0,6.0,2010s,661.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_488
Tipo F120A/F120D,Ferrari F40,1987,1996.0,10.0,80s,471.0,,Tipo,Other,2900.0,2.9,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Ferrari_F40
Tipo F130B,Ferrari F50,1995,1997.0,3.0,90s,513.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_F50
Tipo F140 B,Ferrari Enzo,2002,2004.0,3.0,2000s,651.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_Enzo
F140 FE,LaFerrari,2013,2016.0,4.0,2010s,950.0,,F140,Other,6300.0,6.3,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/LaFerrari
M840T,McLaren 720S,2017,2023.0,7.0,2010s,710.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_720S
M838T E,McLaren 570S,2015,2021.0,7.0,2010s,562.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_570S
M838TQ,McLaren P1,2013,,,2010s,903.0,,M838TQ,Other,3800.0,3.8,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/McLaren_P1
BMW S70/2,McLaren F1,1992,1998.0,7.0,90s,618.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_F1
WR16,Bugatti Veyron,2005,2015.0,11.0,2000s,987.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Bugatti_Veyron
WR16,Bugatti Chiron,2016,2024.0,9.0,2010s,479.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Bugatti_Chiron
Mercedes-AMG M158,Pagani Huayra,2011,2018.0,8.0,2010s,730.0,,Mercedes-AMG,Other,6000.0,6.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Pagani_Huayra
AM05,Aston Martin Vantage (2005),2006,2018.0,13.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
AM14,Aston Martin Vantage (2005),2006,2018.0,13.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
AM11,Aston Martin Vantage (2005),2006,2018.0,13.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
AM28,Aston Martin Vantage (2005),2006,2018.0,13.0,2000s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
AE31,Aston Martin DBS Superleggera,2018,2024.0,7.0,2010s,715.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_DBS_Superleggera
Jaguar AJ126V6,Jaguar F-Type,2014,2024.0,11.0,2010s,295.9,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jaguar_F-Type
Jaguar AJ133V8,Jaguar F-Type,2014,2024.0,11.0,2010s,295.9,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jaguar_F-Type
M264,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M270,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,M270,Other,1500.0,1.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M274,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,M274,Other,1600.0,1.6,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M256,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,M256,Other,2000.0,2.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M276,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M177,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,M177,Other,3982.0,4.0,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
M139,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,M139,Other,1500.0,1.5,Naturally Aspirated,epa_verified,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
OM654,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
OM656,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
OM642,Mercedes-Benz E-Class (W213),2017,2023.0,7.0,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
GME T4,Alfa Romeo Giulia (2015),2016,,,2010s,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Alfa_Romeo_Giulia_(2015)
"5.0 L (305 cu in; 5,000 cc) Koenigsegg twin-turbocharged V8",Koenigsegg Agera,2010,2018.0,9.0,2010s,947.0,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Koenigsegg_Agera
