engine_variant,engine,variant,manufacturer,region,engine_family,aspiration,displacement,displacement_l,power_hp,torque_nm,bore_mm,stroke_mm,compression_ratio,redline_rpm,hp_per_litre,configuration,valvetrain,fuel_system,block_material,head_material,production,confidence
BMW B58B30O1,BMW B58B30O1,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,,,,,,,,,,,,,,epa_verified
5.2 L odd-firing V10,5.2 L odd-firing V10,base,5.2,Other,L,Naturally Aspirated,5200.0,5.2,,,,,,,,,,,,,,epa_verified
4G63T,4G63T,base,4G63T,Other,4G63T,Turbocharged,2000.0,2.0,,,,,,,,,,,,,,epa_verified
4B11T,4B11T,base,4B11T,Other,4B11T,Turbocharged,2000.0,2.0,,,,,,,,,,,,,,epa_verified
4.8 L 1LR-GUE even-firing V10,4.8 L 1LR-GUE even-firing V10,base,4.8,Other,L,Naturally Aspirated,4800.0,4.8,,,,,,,,,,,,,,epa_verified
BMW B58B30M1,BMW B58B30M1,base,BMW,European,B,Naturally Aspirated,2998.0,3.0,,,,,,,,,,,,,,epa_verified
BMW M60 (4.6L),BMW M60,4.6L,BMW,European,M,Naturally Aspirated,4600.0,4.6,,,,,,,,90V8,DOHC,Normally aspirated,Aluminum,Aluminum,19921996,epa_verified
BMW M52,BMW M52,base,BMW,European,M,Naturally Aspirated,,,,,,,,,,Straight-6,"DOHC, withVVT",,Aluminium /cast iron,Aluminium,19942000,wikipedia_single
Ekspress-AM11,Ekspress-AM11,base,Ekspress-AM11,Other,EKSPRESS,Naturally Aspirated,,,,,,,,,,Communications,,,,,,wikipedia_single
Chrysler LA engine,Chrysler LA engine,base,Chrysler,American,LA,Naturally Aspirated,63.9,0.1,,,,,,,,Naturally aspirated90V6Naturally aspirated90V8Naturally aspirated90V10,OHV2 valves per cylinder,CarburetorThrottle-body fuel injectionMulti-point fuel injection(V6 only)Sequential fuel injection(V6 only),Cast iron,Cast iron,19642003,wikipedia_single
Nissan SR20DET (247hp),Nissan SR20DET,247hp,Nissan,JDM,SR,Turbocharged,,,247.0,,,,,,,Straight-four,DOHC4 valvesx cyl.,Electronic fuel injection,Aluminum,Aluminum,19892002,wikipedia_single
Nissan SR20DET (201hp),Nissan SR20DET,201hp,Nissan,JDM,SR,Turbocharged,,,201.0,,,,,,,Straight-four,DOHC4 valvesx cyl.,Electronic fuel injection,Aluminum,Aluminum,19892002,wikipedia_single
Nissan SR engine (316hp),Nissan SR engine,316hp,Nissan,JDM,SR,Naturally Aspirated,,,316.0,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,wikipedia_single
Nissan SR engine (108hp),Nissan SR engine,108hp,Nissan,JDM,SR,Naturally Aspirated,,,108.0,,,,,,,Inline-four engine,DOHC4 valvesx cyl. withVVT(some versions),Fuel injection,Aluminum,Aluminum,19872007,wikipedia_single
Nissan KA engine (2.4L),Nissan KA engine,2.4L,Nissan,JDM,KA,Naturally Aspirated,,,1992.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (2.0L),Nissan KA engine,2.0L,Nissan,JDM,KA,Naturally Aspirated,,,1992.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (155hp),Nissan KA engine,155hp,Nissan,JDM,KA,Naturally Aspirated,,,155.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (143hp),Nissan KA engine,143hp,Nissan,JDM,KA,Naturally Aspirated,,,143.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Nissan KA engine (134hp),Nissan KA engine,134hp,Nissan,JDM,KA,Naturally Aspirated,,,134.0,,,,,,,Naturally aspiratedInline-4,SOHC2- or3 valves x cyl.(1988-1997)DOHC4 valves x cyl.(1991-2016),Sequential electronic FI,Cast iron,Aluminum,19882021,wikipedia_single
Porsche flat-six engine,Porsche flat-six engine,base,Porsche,European,FLAT,Naturally Aspirated,,,,,,,,,,Flat-6,"12-valve or 24-valve,SOHC/DOHC, two-valves per cylinder or four-valves per cylinder",Mechanical fuel injectionCarburetorDirect fuel injection,,,1963present,wikipedia_single
USSChara,USSChara,base,USSChara,Other,USSCHARA,Naturally Aspirated,,,,,,,,,,Andromeda-classattack cargo ship,,,,,,wikipedia_single
Mitsubishi 6G7 engine,Mitsubishi 6G7 engine,base,Mitsubishi,JDM,6G7,Naturally Aspirated,,,,,,,,,,60V6,SOHC2 & 4 valves  cyl.DOHC4 valves  cyl.withMIVEC(on some versions),Multi-port fuel injectionDirect injection,,,19862021,wikipedia_single
Mitsubishi 4B1 engine (440hp),Mitsubishi 4B1 engine,440hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,440.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (403hp),Mitsubishi 4B1 engine,403hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,403.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (291hp),Mitsubishi 4B1 engine,291hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,291.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (287hp),Mitsubishi 4B1 engine,287hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,287.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (276hp),Mitsubishi 4B1 engine,276hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,276.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (237hp),Mitsubishi 4B1 engine,237hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,237.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mercedes-Benz OM654 engine (266hp),Mercedes-Benz OM654 engine,266hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,266.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (261hp),Mercedes-Benz OM654 engine,261hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,261.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (2.0L),Mercedes-Benz OM654 engine,2.0L,Mercedes-Benz,European,OM,Naturally Aspirated,,,2100.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (192hp),Mercedes-Benz OM654 engine,192hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,192.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (160hp),Mercedes-Benz OM654 engine,160hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,160.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (150hp),Mercedes-Benz OM654 engine,150hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,150.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (120hp),Mercedes-Benz OM654 engine,120hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,120.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM654 engine (1.6L),Mercedes-Benz OM654 engine,1.6L,Mercedes-Benz,European,OM,Naturally Aspirated,,,2100.0,,,,,,,Inline 4,DOHC4 valvesx cyl.,4th-generationcommon railDirect injection,aluminium,aluminium,2016-present,wikipedia_single
Mercedes-Benz OM642 engine (181hp),Mercedes-Benz OM642 engine,181hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,181.0,,,,,,,72V6,DOHC4 valvesx cyl.,Common raildirect injection,Aluminium,Aluminium,20052021,wikipedia_single
Zastava M57,Zastava M57,base,Zastava,Other,M,Naturally Aspirated,,,,,,,,,,Semi-automatic pistol,,,,,"260,000270,000",wikipedia_single
WR 16,WR 16,base,WR,Other,16,Naturally Aspirated,,,,,,,,,,WN8h,,,,,,wikipedia_single
Mitsubishi 4B1 engine (156hp),Mitsubishi 4B1 engine,156hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,156.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mitsubishi 4B1 engine (117hp),Mitsubishi 4B1 engine,117hp,Mitsubishi,JDM,4B1,Naturally Aspirated,,,117.0,,,,,,,Inline-four,"Direct actingDOHC,16 valves, continuously variableMIVECintake and exhaust valve timing",Fuel injection,Aluminiumdie cast,Aluminium die cast,2007present,wikipedia_single
Mercedes-Benz M139 engine (416hp),Mercedes-Benz M139 engine,416hp,Mercedes-Benz,European,M,Naturally Aspirated,,,416.0,,,,,,,Straight-four engine,DOHC,Combined Direct and Port Fuel Injection,Aluminium alloy,Aluminium alloy,2019-present,wikipedia_single
Mercedes-Benz M139 engine (382hp),Mercedes-Benz M139 engine,382hp,Mercedes-Benz,European,M,Naturally Aspirated,,,382.0,,,,,,,Straight-four engine,DOHC,Combined Direct and Port Fuel Injection,Aluminium alloy,Aluminium alloy,2019-present,wikipedia_single
McLaren P1 (903hp),McLaren P1,903hp,McLaren,European,P,Naturally Aspirated,,,903.0,,,,,,,"Rear mid-engine, rear-wheel-drive",,,,,October 2013  December 2015,wikipedia_single
McLaren P1 (177hp),McLaren P1,177hp,McLaren,European,P,Naturally Aspirated,,,177.0,,,,,,,"Rear mid-engine, rear-wheel-drive",,,,,October 2013  December 2015,wikipedia_single
Mercedes-Benz OM642 engine (261hp),Mercedes-Benz OM642 engine,261hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,261.0,,,,,,,72V6,DOHC4 valvesx cyl.,Common raildirect injection,Aluminium,Aluminium,20052021,wikipedia_single
Mercedes-Benz OM642 engine (211hp),Mercedes-Benz OM642 engine,211hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,211.0,,,,,,,72V6,DOHC4 valvesx cyl.,Common raildirect injection,Aluminium,Aluminium,20052021,wikipedia_single
Mercedes-Benz OM642 engine (188hp),Mercedes-Benz OM642 engine,188hp,Mercedes-Benz,European,OM,Naturally Aspirated,,,188.0,,,,,,,72V6,DOHC4 valvesx cyl.,Common raildirect injection,Aluminium,Aluminium,20052021,wikipedia_single
M67 grenade,M67 grenade,base,M67,Other,GRENADE,Naturally Aspirated,,,,,63.5,89.7,,,,Hand grenade,,,,,,wikipedia_single
M51 (missile),M51 (missile),base,M51,Other,(missile),Naturally Aspirated,,,,,58.4,304.8,,,,SLBM,,,,,,wikipedia_single
Chevrolet Gemini small-block engine,Chevrolet Gemini small-block engine,base,Chevrolet,American,GEMINI,Turbocharged,89522.2,89.5,,,,,,,,90V8,DOHC4 valves,Direct fuel injection(LT6)Direct andport injection(LT7),Sand-cast A319Aluminum,Aluminum,2022present,wikipedia_single
Toyota JZ engine,Toyota JZ engine,base,Toyota,JDM,JZ,Naturally Aspirated,,,,,,,,,,Straight-6,,,Cast iron,Aluminium,19902007,wikipedia_single
Toyota GR engine,Toyota GR engine,base,Toyota,JDM,GR,Naturally Aspirated,,,,,,,,,,60V6,DOHC4 valves/cylwithVVT-iand timing chain,,Die-castaluminium,Aluminium,2002present,wikipedia_single
Toyota GR Supra (434hp),Toyota GR Supra,434hp,Toyota,JDM,GR,Naturally Aspirated,,,434.0,,,,,,,"Front-engine, rear-wheel drive",,,,,March 2019 March 2026,wikipedia_single
Toyota GR Supra (255hp),Toyota GR Supra,255hp,Toyota,JDM,GR,Naturally Aspirated,,,255.0,,,,,,,"Front-engine, rear-wheel drive",,,,,March 2019 March 2026,wikipedia_single
M270 Multiple Launch Rocket System (600hp),M270 Multiple Launch Rocket System,600hp,M270,Other,MULTIPLE,Naturally Aspirated,,,600.0,,,,,,,Multiple rocket launcher,,,,,,wikipedia_single
M270 Multiple Launch Rocket System (500hp),M270 Multiple Launch Rocket System,500hp,M270,Other,MULTIPLE,Naturally Aspirated,,,500.0,,,,,,,Multiple rocket launcher,,,,,,wikipedia_single
Lamborghini V12 (631hp),Lamborghini V12,631hp,Lamborghini,European,V,Naturally Aspirated,,,631.0,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,wikipedia_single
Lamborghini V12 (595hp),Lamborghini V12,595hp,Lamborghini,European,V,Naturally Aspirated,,,595.0,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,wikipedia_single
Lamborghini V12 (572hp),Lamborghini V12,572hp,Lamborghini,European,V,Naturally Aspirated,,,572.0,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,wikipedia_single
Lamborghini V12 (478hp),Lamborghini V12,478hp,Lamborghini,European,V,Naturally Aspirated,,,478.0,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,wikipedia_single
Lamborghini V12 (690hp),Lamborghini V12,690hp,Lamborghini,European,V,Naturally Aspirated,,,690.0,,88.9,88.9,,,,60V12petrol engine,"double overhead camshaft,3.5/4.0/4.8: 2-valves percyl,5.2/5.7/6.0/6.2/6.5:4-valves per cyl","3.5/3.9/4.8/5.2: 6Webercarburettors,5.7/6.0/6.2/6.5: electronicmulti-pointsequentialfuel injection",Cast aluminium alloy,Cast aluminium alloy,1963present,wikipedia_single
IM LS6 (776hp),IM LS6,776hp,IM,Other,LS,Naturally Aspirated,,,776.0,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (75kW),IM LS6,75kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (71kW),IM LS6,71kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (66kW),IM LS6,66kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (396kW),IM LS6,396kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
Volkswagen-Audi V8 engine (750hp),Volkswagen-Audi V8 engine,750hp,Volkswagen-Audi,Other,V,Turbocharged,,,750.0,,,,,,,90V8,"32-valve or also 40-valve for high-output petrol engines,DOHC, four-valves per cylinder",Fuel injection,,,1988-present (Gasoline engines)1999-present (Diesel engines),wikipedia_single
Volkswagen-Audi V8 engine (429hp),Volkswagen-Audi V8 engine,429hp,Volkswagen-Audi,Other,V,Turbocharged,,,429.0,,,,,,,90V8,"32-valve or also 40-valve for high-output petrol engines,DOHC, four-valves per cylinder",Fuel injection,,,1988-present (Gasoline engines)1999-present (Diesel engines),wikipedia_single
IM LS6 (310hp),IM LS6,310hp,IM,Other,LS,Naturally Aspirated,,,310.0,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (100kW),IM LS6,100kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
Honda NSX (first generation) (290hp),Honda NSX (first generation),290hp,Honda,JDM,NSX,Naturally Aspirated,,,290.0,,,,,,,"TransverseRear-mid-engine, rear-wheel drive",,,,,"August 1990  November 30, 2005",wikipedia_single
Honda NSX (first generation) (270hp),Honda NSX (first generation),270hp,Honda,JDM,NSX,Naturally Aspirated,,,270.0,,,,,,,"TransverseRear-mid-engine, rear-wheel drive",,,,,"August 1990  November 30, 2005",wikipedia_single
Honda NSX (first generation) (252hp),Honda NSX (first generation),252hp,Honda,JDM,NSX,Naturally Aspirated,,,252.0,,,,,,,"TransverseRear-mid-engine, rear-wheel drive",,,,,"August 1990  November 30, 2005",wikipedia_single
Honda K engine,Honda K engine,base,Honda,JDM,K,Naturally Aspirated,,,,,,,,,,Inline-4,"DOHC4 valves x cyl., withi-VTEC",Programmed fuel injectionDirect injection,Aluminum,Aluminum,2001present,wikipedia_single
Honda Integra (fourth generation) (220hp),Honda Integra (fourth generation),220hp,Honda,JDM,INTEGRA,Naturally Aspirated,,,220.0,,,,,,,"Front-engine, front-wheel drive",,,,,July 2001  August 2006,wikipedia_single
Honda Integra (fourth generation) (210hp),Honda Integra (fourth generation),210hp,Honda,JDM,INTEGRA,Naturally Aspirated,,,210.0,,,,,,,"Front-engine, front-wheel drive",,,,,July 2001  August 2006,wikipedia_single
Honda Integra (fourth generation) (160hp),Honda Integra (fourth generation),160hp,Honda,JDM,INTEGRA,Naturally Aspirated,,,160.0,,,,,,,"Front-engine, front-wheel drive",,,,,July 2001  August 2006,wikipedia_single
IM LS6 (90kW),IM LS6,90kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
IM LS6 (83kW),IM LS6,83kW,IM,Other,LS,Naturally Aspirated,,,,,,,,,,"Rear-motor, rear-wheel-drive(EV)Dual-motor, all-wheel-drive(EV)Front-engine, rear-motor, rear-wheel-drive(EREV)",,,,,2023present,wikipedia_single
Ford FE engine,Ford FE engine,base,Ford,American,FE,Naturally Aspirated,,,,,,,,,,OHVV8,,,Medium block,,1958(1958)1969(1969)in passenger cars; until 1978 in industrial trucks,wikipedia_single
Ferrari F40 (477hp),Ferrari F40,477hp,Ferrari,European,F,Naturally Aspirated,,,477.0,,,,,,,"Longitudinally-mounted,rear mid-engine, rear-wheel drive",,,,,"198719961,311 produced (including LM, Competizione and GTE)",wikipedia_single
Ferrari F40 (471hp),Ferrari F40,471hp,Ferrari,European,F,Naturally Aspirated,,,471.0,,,,,,,"Longitudinally-mounted,rear mid-engine, rear-wheel drive",,,,,"198719961,311 produced (including LM, Competizione and GTE)",wikipedia_single
Chrysler Hemi engine (425hp),Chrysler Hemi engine,425hp,Chrysler,American,HEMI,Naturally Aspirated,,,425.0,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,wikipedia_single
Chrysler Hemi engine (350hp),Chrysler Hemi engine,350hp,Chrysler,American,HEMI,Naturally Aspirated,,,350.0,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,wikipedia_single
Chrysler Hemi engine (320hp),Chrysler Hemi engine,320hp,Chrysler,American,HEMI,Naturally Aspirated,,,320.0,,102.9,96.1,,,,Naturally aspiratedV8,OHV2valvespercylinder,2X4 barrelCarter AFBCarburetor,Cast iron,AluminumCast iron,19511963,wikipedia_single
Honda B engine,Honda B engine,base,Honda,JDM,B,Naturally Aspirated,,,,,,,,,,Naturally aspiratedinline-4,"DOHC,VTECin some models",Programmed fuel injection,,,19882001,wikipedia_single
Audi straight-five engine (375hp),Audi straight-five engine,375hp,Audi,European,STRAIGHT,Naturally Aspirated,,,375.0,,102.9,91.2,,,,GasolineDiesel,OHV2valvespercylinder,Carburetor(19681987)Multi-portfuel injection(19881997),Cast iron,Cast iron,19681998,wikipedia_single
Audi straight-five engine (217hp),Audi straight-five engine,217hp,Audi,European,STRAIGHT,Naturally Aspirated,,,217.0,,102.9,91.2,,,,GasolineDiesel,OHV2valvespercylinder,Carburetor(19681987)Multi-portfuel injection(19881997),Cast iron,Cast iron,19681998,wikipedia_single
