group_value,vehicle_count,avg_power_hp,max_power_hp,avg_displacement_cc,avg_hp_per_litre,group_by,engine_count,variant_count
2.2,1.0,,,0.0,,manufacturer,,
3.0L,1.0,,,0.0,,manufacturer,,
4.8,1.0,,,0.0,,manufacturer,,
4B11T,2.0,440.0,440.0,1.0,,manufacturer,,
4G63T,1.0,,,0.0,,manufacturer,,
5.0,1.0,947.0,947.0,1.0,,manufacturer,,
5.2,1.0,,,0.0,,manufacturer,,
6.2,1.0,573.0,573.0,1.0,,manufacturer,,
6G72,1.0,,,0.0,,manufacturer,,
AE31,1.0,715.0,715.0,1.0,,manufacturer,,
AM05,1.0,,,0.0,,manufacturer,,
AM11,1.0,,,0.0,,manufacturer,,
AM14,1.0,,,0.0,,manufacturer,,
AM28,1.0,,,0.0,,manufacturer,,
Audi,1.0,394.0,394.0,1.0,,manufacturer,,
BMW,14.0,341.5,618.0,17.0,,manufacturer,,
Bugatti,2.0,1250.5,1500.0,2.0,,manufacturer,,
CA18DET,1.0,,,0.0,,manufacturer,,
Cadillac,2.0,659.0,668.0,2.0,,manufacturer,,
Chrysler,4.0,588.5,707.0,4.0,,manufacturer,,
Dodge,1.0,840.0,840.0,1.0,,manufacturer,,
EJ,1.0,,,0.0,,manufacturer,,
F140,1.0,950.0,950.0,1.0,,manufacturer,,
F154,1.0,661.0,661.0,1.0,,manufacturer,,
Ferrari,3.0,594.7,660.0,3.0,,manufacturer,,
Ford,5.0,485.0,662.0,5.0,,manufacturer,,
GM,5.0,515.8,638.0,5.0,,manufacturer,,
GME,1.0,,,0.0,,manufacturer,,
Hellcat,2.0,,,0.0,,manufacturer,,
Hemi,2.0,,,0.0,,manufacturer,,
Honda,8.0,274.2,573.0,9.0,,manufacturer,,
Jaguar,1.0,295.9,295.9,2.0,,manufacturer,,
K20A,1.0,160.0,160.0,1.0,,manufacturer,,
K20A2,1.0,160.0,160.0,1.0,,manufacturer,,
K20A3,1.0,160.0,160.0,1.0,,manufacturer,,
K20Z1,1.0,160.0,160.0,1.0,,manufacturer,,
Kia,1.0,365.0,365.0,1.0,,manufacturer,,
L539,1.0,690.0,690.0,1.0,,manufacturer,,
LS1V8,1.0,,,0.0,,manufacturer,,
LS2,1.0,,,0.0,,manufacturer,,
LS3,1.0,,,0.0,,manufacturer,,
LS6,2.0,495.0,495.0,1.0,,manufacturer,,
LS7,1.0,,,0.0,,manufacturer,,
LS9,1.0,,,0.0,,manufacturer,,
LT1V8,1.0,,,0.0,,manufacturer,,
LT2,1.0,495.0,495.0,1.0,,manufacturer,,
LT4,2.0,,,0.0,,manufacturer,,
LT5,1.0,,,0.0,,manufacturer,,
LT6,1.0,495.0,495.0,1.0,,manufacturer,,
LT7,1.0,495.0,495.0,1.0,,manufacturer,,
Lamborghini,2.0,655.0,700.0,2.0,,manufacturer,,
M139,2.0,,,0.0,,manufacturer,,
M156,2.0,,,0.0,,manufacturer,,
M157,2.0,,,0.0,,manufacturer,,
M159,1.0,,,0.0,,manufacturer,,
M177,2.0,,,0.0,,manufacturer,,
M256,1.0,,,0.0,,manufacturer,,
M264,2.0,,,0.0,,manufacturer,,
M270,2.0,,,0.0,,manufacturer,,
M271,2.0,,,0.0,,manufacturer,,
M272,2.0,,,0.0,,manufacturer,,
M273,1.0,,,0.0,,manufacturer,,
M274,4.0,,,0.0,,manufacturer,,
M276,4.0,,,0.0,,manufacturer,,
M278,1.0,,,0.0,,manufacturer,,
M47,2.0,,,0.0,,manufacturer,,
M51,2.0,,,0.0,,manufacturer,,
M52,1.0,,,0.0,,manufacturer,,
M52B28,1.0,,,0.0,,manufacturer,,
M54,2.0,,,0.0,,manufacturer,,
M57,2.0,,,0.0,,manufacturer,,
M60B30,1.0,,,0.0,,manufacturer,,
M60B40,1.0,,,0.0,,manufacturer,,
M62,1.0,,,0.0,,manufacturer,,
M62B35,1.0,,,0.0,,manufacturer,,
M62B44,1.0,,,0.0,,manufacturer,,
M67,1.0,,,0.0,,manufacturer,,
M73B54,1.0,,,0.0,,manufacturer,,
M838T,1.0,562.0,562.0,1.0,,manufacturer,,
M838TQ,1.0,903.0,903.0,1.0,,manufacturer,,
M840T,1.0,710.0,710.0,1.0,,manufacturer,,
Mazda,1.0,255.0,255.0,1.0,,manufacturer,,
McLaren,2.0,732.5,755.0,2.0,,manufacturer,,
Mercedes,5.0,557.6,710.0,5.0,,manufacturer,,
Mercedes-AMG,1.0,730.0,730.0,1.0,,manufacturer,,
Mitsubishi,3.0,275.7,291.0,3.0,,manufacturer,,
N43,1.0,,,0.0,,manufacturer,,
N45,1.0,,,0.0,,manufacturer,,
N46,2.0,,,0.0,,manufacturer,,
N47,1.0,,,0.0,,manufacturer,,
N52,2.0,,,0.0,,manufacturer,,
N54,1.0,,,0.0,,manufacturer,,
N55,1.0,,,0.0,,manufacturer,,
Nissan,14.0,336.1,600.0,14.0,,manufacturer,,
OM626,1.0,,,0.0,,manufacturer,,
OM642,3.0,,,0.0,,manufacturer,,
OM646,1.0,,,0.0,,manufacturer,,
OM651,3.0,,,0.0,,manufacturer,,
OM654,2.0,,,0.0,,manufacturer,,
OM656,1.0,,,0.0,,manufacturer,,
Porsche,2.0,413.0,510.0,2.0,,manufacturer,,
S54,1.0,,,0.0,,manufacturer,,
S62,1.0,,,0.0,,manufacturer,,
S63,1.0,,,0.0,,manufacturer,,
SR20DE,1.0,,,0.0,,manufacturer,,
SR20DET,1.0,,,0.0,,manufacturer,,
Subaru,4.0,243.5,300.0,4.0,,manufacturer,,
Tipo,3.0,545.0,651.0,3.0,,manufacturer,,
Toyota,4.0,308.0,553.0,5.0,,manufacturer,,
VQ35DE,1.0,,,0.0,,manufacturer,,
VQ35HR,1.0,,,0.0,,manufacturer,,
VQ37VHR,1.0,,,0.0,,manufacturer,,
VR38DETT,1.0,473.0,473.0,1.0,,manufacturer,,
Viper,1.0,400.0,400.0,1.0,,manufacturer,,
WR16,2.0,733.0,987.0,2.0,,manufacturer,,
American,17.0,559.8,840.0,17.0,,region,,
European,32.0,485.1,1500.0,36.0,,region,,
JDM,35.0,300.9,600.0,37.0,,region,,
Other,50.0,556.7,987.0,26.0,,region,,
Naturally Aspirated,98.0,449.6,1500.0,88.0,,aspiration,,
Supercharged,8.0,694.4,840.0,5.0,,aspiration,,
Turbocharged,24.0,415.5,947.0,23.0,,aspiration,,
2000s,40.0,408.1,1001.0,38.0,,era,,
2010s,47.0,586.5,1500.0,41.0,,era,,
2020s+,10.0,444.1,755.0,14.0,,era,,
80s,4.0,317.3,471.0,3.0,,era,,
90s,25.0,293.2,618.0,20.0,,era,,
epa_verified,,363.9,,,,confidence,152.0,265.0
verified_manual,,415.2,,,,confidence,60.0,60.0
wikipedia_single,,451.2,,,,confidence,34.0,82.0
