vehicle,manufacturer,region,engine,aspiration,year_start,year_end,year_span,era,power_hp,torque_nm,hp_per_litre,bore_mm,stroke_mm,compression_ratio,redline_rpm,valvetrain,fuel_system,configuration,block_material,head_material,notes,source
Chevrolet Corvette (C7),LT4,Other,LT4,Naturally Aspirated,2014,2019.0,6.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
Chevrolet Corvette (C7),LT5,Other,LT5,Naturally Aspirated,2014,2019.0,6.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C7)
Chevrolet Corvette (C6),LS2,Other,LS2,Naturally Aspirated,2005,2013.0,9.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
Chevrolet Corvette (C6),LS3,Other,LS3,Naturally Aspirated,2005,2013.0,9.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
Chevrolet Corvette (C6),LS7,Other,LS7,Naturally Aspirated,2005,2013.0,9.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
Chevrolet Corvette (C6),LS9,Other,LS9,Supercharged,2005,2013.0,9.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C6)
Chevrolet Corvette (C5),LS1V8,Other,LS1V8,Naturally Aspirated,1997,2004.0,8.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
Chevrolet Corvette (C5),LS6,Other,LS6,Naturally Aspirated,1997,2004.0,8.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Chevrolet_Corvette_(C5)
Cadillac CT5,LT4,Other,LT4,Naturally Aspirated,2020,,,2020s+,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Cadillac_CT5
Dodge Challenger (2008),Hellcat,Other,Hellcat,Supercharged,2008,2023.0,16.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Dodge_Challenger_(2008)
Dodge Viper,Viper,Other,Viper V10,Naturally Aspirated,1992,2006.0,15.0,90s,400.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Dodge_Viper
Jeep Grand Cherokee (WK2),Hemi,Other,Hemi,Naturally Aspirated,2011,2022.0,12.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Jeep Grand Cherokee (WK2),Hellcat,Other,Hellcat Hemi,Supercharged,2011,2022.0,12.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jeep_Grand_Cherokee_(WK2)
Ram 1500 TRX,Hemi,Other,Hemi,Naturally Aspirated,2021,2024.0,4.0,2020s+,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ram_1500_TRX
BMW 1 Series (E87),N43,Other,N43,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N45,Other,N45,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N46,Other,N46,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N52,Other,N52,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N54,Other,N54,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N55,Other,N55,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),M47,Other,M47,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW 1 Series (E87),N47,Other,N47,Naturally Aspirated,2005,2011.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_1_Series_(E87)
BMW Z4 (E85),N46,Other,N46,Naturally Aspirated,2003,2008.0,6.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
BMW Z4 (E85),M54,Other,M54,Naturally Aspirated,2003,2008.0,6.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
BMW Z4 (E85),N52,Other,N52,Naturally Aspirated,2003,2008.0,6.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
BMW Z4 (E85),S54,Other,S54,Naturally Aspirated,2003,2008.0,6.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_Z4_(E85)
BMW M8,S63,Other,S63,Naturally Aspirated,2019,,,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_M8
BMW 7 Series (E38),M52B28,Other,M52B28,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M60B30,Other,M60B30,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M62B35,Other,M62B35,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M60B40,Other,M60B40,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M62B44,Other,M62B44,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M73B54,Other,M73B54,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M51,Other,M51,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M57,Other,M57,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 7 Series (E38),M67,Other,M67,Naturally Aspirated,1995,2001.0,7.0,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_7_Series_(E38)
BMW 5 Series (E39),M52,Other,M52,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),M54,Other,M54,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),M62,Other,M62,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),S62,Other,S62,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),M47,Other,M47,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),M51,Other,M51,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
BMW 5 Series (E39),M57,Other,M57,Naturally Aspirated,1995,,,90s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E39)
Mercedes-Benz C-Class (W204),M271,Other,M271,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),M274,Other,M274,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),M272,Other,M272,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),M276,Other,M276,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),M156,Other,M156,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),OM651,Other,OM651,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),OM646,Other,OM646,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W204),OM642,Other,OM642,Naturally Aspirated,2008,2014.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W204)
Mercedes-Benz C-Class (W205),M264,Other,M264,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),M270,Other,M270,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),M274,Other,M274,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),M276,Other,M276,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),M177,Other,M177,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),M139,Other,M139,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),OM651,Other,OM651,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),OM626,Other,OM626,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz C-Class (W205),OM654,Other,OM654,Naturally Aspirated,2015,2021.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_C-Class_(W205)
Mercedes-Benz E-Class (W212),M271,Other,M271,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M274,Other,M274,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M272,Other,M272,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M276,Other,M276,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M278,Other,M278,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M273,Other,M273,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M157,Other,M157,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),M156,Other,M156,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),OM651,Other,OM651,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz E-Class (W212),OM642,Other,OM642,Naturally Aspirated,2010,2016.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W212)
Mercedes-Benz SLS AMG,M159,Other,M159,Naturally Aspirated,2010,2015.0,6.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_SLS_AMG
Mercedes-AMG G 63 6x6,M157,Other,M157,Naturally Aspirated,2013,2015.0,3.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-AMG_G_63_6x6
Mercedes-Benz GLK-Class,3.0L,Other,3.0L V6 3.5L V6 2.1L CDI I4 3.0L CDI V6,Naturally Aspirated,2010,2015.0,6.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_GLK-Class
Lamborghini Huracán,5.2,Other,5.2 L odd-firing V10,Naturally Aspirated,2014,,,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Huracán
Lamborghini Aventador,L539,Other,L539,Naturally Aspirated,2012,2022.0,11.0,2010s,690.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Aventador
Lamborghini Murciélago,6.2,Other,6.2 L–6.5 L Lamborghini V12,Naturally Aspirated,2002,2010.0,9.0,2000s,573.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Lamborghini_Murciélago
Ferrari 458,Ferrari,European,Ferrari F136 F,Naturally Aspirated,2009,2015.0,7.0,2000s,562.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_458
Ferrari 488,F154,Other,F154 CB,Naturally Aspirated,2015,2020.0,6.0,2010s,661.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_488
Ferrari F40,Tipo,Other,Tipo F120A/F120D,Naturally Aspirated,1987,1996.0,10.0,80s,471.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_F40
Ferrari F50,Tipo,Other,Tipo F130B,Naturally Aspirated,1995,1997.0,3.0,90s,513.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_F50
Ferrari Enzo,Tipo,Other,Tipo F140 B,Naturally Aspirated,2002,2004.0,3.0,2000s,651.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Ferrari_Enzo
LaFerrari,F140,Other,F140 FE,Naturally Aspirated,2013,2016.0,4.0,2010s,950.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/LaFerrari
McLaren 720S,M840T,Other,M840T,Turbocharged,2017,2023.0,7.0,2010s,710.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_720S
McLaren 570S,M838T,Other,M838T E,Naturally Aspirated,2015,2021.0,7.0,2010s,562.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_570S
McLaren P1,M838TQ,Other,M838TQ,Naturally Aspirated,2013,,,2010s,903.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_P1
McLaren F1,BMW,European,BMW S70/2,Naturally Aspirated,1992,1998.0,7.0,90s,618.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/McLaren_F1
Bugatti Veyron,WR16,Other,WR16,Naturally Aspirated,2005,2015.0,11.0,2000s,987.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Bugatti_Veyron
Bugatti Chiron,WR16,Other,WR16,Naturally Aspirated,2016,2024.0,9.0,2010s,479.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Bugatti_Chiron
Pagani Huayra,Mercedes-AMG,Other,Mercedes-AMG M158,Naturally Aspirated,2011,2018.0,8.0,2010s,730.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Pagani_Huayra
Aston Martin Vantage (2005),AM05,Other,AM05,Naturally Aspirated,2006,2018.0,13.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
Aston Martin Vantage (2005),AM14,Other,AM14,Naturally Aspirated,2006,2018.0,13.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
Aston Martin Vantage (2005),AM11,Other,AM11,Naturally Aspirated,2006,2018.0,13.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
Aston Martin Vantage (2005),AM28,Other,AM28,Naturally Aspirated,2006,2018.0,13.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_Vantage_(2005)
Aston Martin DBS Superleggera,AE31,Other,AE31,Naturally Aspirated,2018,2024.0,7.0,2010s,715.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Aston_Martin_DBS_Superleggera
Jaguar F-Type,Jaguar,European,Jaguar AJ126V6,Naturally Aspirated,2014,2024.0,11.0,2010s,295.9,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jaguar_F-Type
Jaguar F-Type,Jaguar,European,Jaguar AJ133V8,Naturally Aspirated,2014,2024.0,11.0,2010s,295.9,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Jaguar_F-Type
Mercedes-Benz E-Class (W213),M264,Other,M264,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M270,Other,M270,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M274,Other,M274,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M256,Other,M256,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M276,Other,M276,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M177,Other,M177,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),M139,Other,M139,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),OM654,Other,OM654,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),OM656,Other,OM656,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Mercedes-Benz E-Class (W213),OM642,Other,OM642,Naturally Aspirated,2017,2023.0,7.0,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Mercedes-Benz_E-Class_(W213)
Alfa Romeo Giulia (2015),GME,Other,GME T4,Naturally Aspirated,2016,,,2010s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Alfa_Romeo_Giulia_(2015)
Koenigsegg Agera,5.0,Other,"5.0 L (305 cu in; 5,000 cc) Koenigsegg twin-turbocharged V8",Turbocharged,2010,2018.0,9.0,2010s,947.0,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/Koenigsegg_Agera
BMW 5 Series (E60),N46,Other,N46,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),M54,Other,M54,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),N52,Other,N52,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),N53,Other,N53,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),N54,Other,N54,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),N62,Other,N62,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),S85,Other,S85,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),M47,Other,M47,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),N47,Other,N47,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
BMW 5 Series (E60),M57,Other,M57,Naturally Aspirated,2004,2010.0,7.0,2000s,,,,,,,,,,,,,car_discovery,https://en.wikipedia.org/wiki/BMW_5_Series_(E60)
